run,mutation,crossover,selection,elitism,generation,fitness
1,heuristic_mutation,geometric_crossover,tournament_k3,1,97,73200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,98,73200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,99,73200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,100,73200
2,heuristic_mutation,geometric_crossover,tournament_k3,1,1,35500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,2,40900
2,heuristic_mutation,geometric_crossover,tournament_k3,1,3,48300
2,heuristic_mutation,geometric_crossover,tournament_k3,1,4,50000
2,heuristic_mutation,geometric_crossover,tournament_k3,1,5,55300
2,heuristic_mutation,geometric_crossover,tournament_k3,1,6,57500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,7,60100
2,heuristic_mutation,geometric_crossover,tournament_k3,1,8,60100
2,heuristic_mutation,geometric_crossover,tournament_k3,1,9,60100
2,heuristic_mutation,geometric_crossover,tournament_k3,1,10,61500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,11,61500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,12,61500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,13,63500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,14,63500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,15,65500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,16,65500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,17,65500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,18,65500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,19,65500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,20,65500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,21,65600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,22,65600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,23,65600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,24,65600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,25,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,26,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,27,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,28,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,29,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,30,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,31,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,32,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,33,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,34,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,35,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,36,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,37,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,38,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,39,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,40,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,41,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,42,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,43,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,44,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,45,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,46,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,47,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,48,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,49,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,50,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,51,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,52,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,53,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,54,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,55,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,56,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,57,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,58,69800
