mutation,crossover,selection,elitism,generation,median_fitness
heuristic_mutation,geometric_crossover,tournament_k2,1,97,68500.0
heuristic_mutation,geometric_crossover,tournament_k2,1,98,68500.0
heuristic_mutation,geometric_crossover,tournament_k2,1,99,68500.0
heuristic_mutation,geometric_crossover,tournament_k2,1,100,68500.0
heuristic_mutation,geometric_crossover,tournament_k2,3,1,38500.0
heuristic_mutation,geometric_crossover,tournament_k2,3,2,42200.0
heuristic_mutation,geometric_crossover,tournament_k2,3,3,47650.0
heuristic_mutation,geometric_crossover,tournament_k2,3,4,49700.0
heuristic_mutation,geometric_crossover,tournament_k2,3,5,52750.0
heuristic_mutation,geometric_crossover,tournament_k2,3,6,55300.0
heuristic_mutation,geometric_crossover,tournament_k2,3,7,57000.0
heuristic_mutation,geometric_crossover,tournament_k2,3,8,59200.0
heuristic_mutation,geometric_crossover,tournament_k2,3,9,61200.0
heuristic_mutation,geometric_crossover,tournament_k2,3,10,62550.0
heuristic_mutation,geometric_crossover,tournament_k2,3,11,63700.0
heuristic_mutation,geometric_crossover,tournament_k2,3,12,64650.0
heuristic_mutation,geometric_crossover,tournament_k2,3,13,65300.0
heuristic_mutation,geometric_crossover,tournament_k2,3,14,65400.0
heuristic_mutation,geometric_crossover,tournament_k2,3,15,65500.0
heuristic_mutation,geometric_crossover,tournament_k2,3,16,65550.0
heuristic_mutation,geometric_crossover,tournament_k2,3,17,65600.0
heuristic_mutation,geometric_crossover,tournament_k2,3,18,65600.0
heuristic_mutation,geometric_crossover,tournament_k2,3,19,65750.0
heuristic_mutation,geometric_crossover,tournament_k2,3,20,65750.0
heuristic_mutation,geometric_crossover,tournament_k2,3,21,66050.0
heuristic_mutation,geometric_crossover,tournament_k2,3,22,66050.0
heuristic_mutation,geometric_crossover,tournament_k2,3,23,66300.0
heuristic_mutation,geometric_crossover,tournament_k2,3,24,66300.0
heuristic_mutation,geometric_crossover,tournament_k2,3,25,66450.0
heuristic_mutation,geometric_crossover,tournament_k2,3,26,66450.0
heuristic_mutation,geometric_crossover,tournament_k2,3,27,66500.0
heuristic_mutation,geometric_crossover,tournament_k2,3,28,66500.0
heuristic_mutation,geometric_crossover,tournament_k2,3,29,66700.0
heuristic_mutation,geometric_crossover,tournament_k2,3,30,66900.0
heuristic_mutation,geometric_crossover,tournament_k2,3,31,67100.0
heuristic_mutation,geometric_crossover,tournament_k2,3,32,67300.0
heuristic_mutation,geometric_crossover,tournament_k2,3,33,67300.0
heuristic_mutation,geometric_crossover,tournament_k2,3,34,67300.0
heuristic_mutation,geometric_crossover,tournament_k2,3,35,67450.0
heuristic_mutation,geometric_crossover,tournament_k2,3,36,67450.0
heuristic_mutation,geometric_crossover,tournament_k2,3,37,67450.0
heuristic_mutation,geometric_crossover,tournament_k2,3,38,67650.0
heuristic_mutation,geometric_crossover,tournament_k2,3,39,67650.0
heuristic_mutation,geometric_crossover,tournament_k2,3,40,67650.0
heuristic_mutation,geometric_crossover,tournament_k2,3,41,67800.0
heuristic_mutation,geometric_crossover,tournament_k2,3,42,67800.0
heuristic_mutation,geometric_crossover,tournament_k2,3,43,67800.0
heuristic_mutation,geometric_crossover,tournament_k2,3,44,67800.0
heuristic_mutation,geometric_crossover,tournament_k2,3,45,68400.0
heuristic_mutation,geometric_crossover,tournament_k2,3,46,68400.0
heuristic_mutation,geometric_crossover,tournament_k2,3,47,68400.0
heuristic_mutation,geometric_crossover,tournament_k2,3,48,68400.0
heuristic_mutation,geometric_crossover,tournament_k2,3,49,68600.0
heuristic_mutation,geometric_crossover,tournament_k2,3,50,68800.0
heuristic_mutation,geometric_crossover,tournament_k2,3,51,68800.0
heuristic_mutation,geometric_crossover,tournament_k2,3,52,68800.0
heuristic_mutation,geometric_crossover,tournament_k2,3,53,68850.0
heuristic_mutation,geometric_crossover,tournament_k2,3,54,68850.0
heuristic_mutation,geometric_crossover,tournament_k2,3,55,68850.0
heuristic_mutation,geometric_crossover,tournament_k2,3,56,68850.0
heuristic_mutation,geometric_crossover,tournament_k2,3,57,68900.0
heuristic_mutation,geometric_crossover,tournament_k2,3,58,69000.0
heuristic_mutation,geometric_crossover,tournament_k2,3,59,69350.0
heuristic_mutation,geometric_crossover,tournament_k2,3,60,69350.0
heuristic_mutation,geometric_crossover,tournament_k2,3,61,69350.0
heuristic_mutation,geometric_crossover,tournament_k2,3,62,69350.0
heuristic_mutation,geometric_crossover,tournament_k2,3,63,69350.0
heuristic_mutation,geometric_crossover,tournament_k2,3,64,69350.0
heuristic_mutation,geometric_crossover,tournament_k2,3,65,69350.0
heuristic_mutation,geometric_crossover,tournament_k2,3,66,69350.0
heuristic_mutation,geometric_crossover,tournament_k2,3,67,69400.0
heuristic_mutation,geometric_crossover,tournament_k2,3,68,69400.0
heuristic_mutation,geometric_crossover,tournament_k2,3,69,69400.0
heuristic_mutation,geometric_crossover,tournament_k2,3,70,69400.0
heuristic_mutation,geometric_crossover,tournament_k2,3,71,69400.0
heuristic_mutation,geometric_crossover,tournament_k2,3,72,69450.0
heuristic_mutation,geometric_crossover,tournament_k2,3,73,69450.0
heuristic_mutation,geometric_crossover,tournament_k2,3,74,69750.0
heuristic_mutation,geometric_crossover,tournament_k2,3,75,69750.0
heuristic_mutation,geometric_crossover,tournament_k2,3,76,69750.0
heuristic_mutation,geometric_crossover,tournament_k2,3,77,69750.0
heuristic_mutation,geometric_crossover,tournament_k2,3,78,69750.0
heuristic_mutation,geometric_crossover,tournament_k2,3,79,70000.0
heuristic_mutation,geometric_crossover,tournament_k2,3,80,70000.0
heuristic_mutation,geometric_crossover,tournament_k2,3,81,70000.0
heuristic_mutation,geometric_crossover,tournament_k2,3,82,70000.0
heuristic_mutation,geometric_crossover,tournament_k2,3,83,70000.0
heuristic_mutation,geometric_crossover,tournament_k2,3,84,70000.0
heuristic_mutation,geometric_crossover,tournament_k2,3,85,70000.0
heuristic_mutation,geometric_crossover,tournament_k2,3,86,70000.0
heuristic_mutation,geometric_crossover,tournament_k2,3,87,70050.0
heuristic_mutation,geometric_crossover,tournament_k2,3,88,70050.0
heuristic_mutation,geometric_crossover,tournament_k2,3,89,70050.0
heuristic_mutation,geometric_crossover,tournament_k2,3,90,70050.0
heuristic_mutation,geometric_crossover,tournament_k2,3,91,70050.0
heuristic_mutation,geometric_crossover,tournament_k2,3,92,70250.0
heuristic_mutation,geometric_crossover,tournament_k2,3,93,70250.0
heuristic_mutation,geometric_crossover,tournament_k2,3,94,70500.0
heuristic_mutation,geometric_crossover,tournament_k2,3,95,70500.0
heuristic_mutation,geometric_crossover,tournament_k2,3,96,70500.0
heuristic_mutation,geometric_crossover,tournament_k2,3,97,70750.0
heuristic_mutation,geometric_crossover,tournament_k2,3,98,70750.0
heuristic_mutation,geometric_crossover,tournament_k2,3,99,70750.0
heuristic_mutation,geometric_crossover,tournament_k2,3,100,70750.0
heuristic_mutation,geometric_crossover,tournament_k2,5,1,36950.0
heuristic_mutation,geometric_crossover,tournament_k2,5,2,41850.0
heuristic_mutation,geometric_crossover,tournament_k2,5,3,46300.0
heuristic_mutation,geometric_crossover,tournament_k2,5,4,50100.0
heuristic_mutation,geometric_crossover,tournament_k2,5,5,52150.0
heuristic_mutation,geometric_crossover,tournament_k2,5,6,53350.0
heuristic_mutation,geometric_crossover,tournament_k2,5,7,56300.0
heuristic_mutation,geometric_crossover,tournament_k2,5,8,57200.0
heuristic_mutation,geometric_crossover,tournament_k2,5,9,59800.0
heuristic_mutation,geometric_crossover,tournament_k2,5,10,61050.0
heuristic_mutation,geometric_crossover,tournament_k2,5,11,61950.0
heuristic_mutation,geometric_crossover,tournament_k2,5,12,62450.0
heuristic_mutation,geometric_crossover,tournament_k2,5,13,64150.0
heuristic_mutation,geometric_crossover,tournament_k2,5,14,64300.0
heuristic_mutation,geometric_crossover,tournament_k2,5,15,64800.0
heuristic_mutation,geometric_crossover,tournament_k2,5,16,65000.0
heuristic_mutation,geometric_crossover,tournament_k2,5,17,65700.0
heuristic_mutation,geometric_crossover,tournament_k2,5,18,66350.0
heuristic_mutation,geometric_crossover,tournament_k2,5,19,66500.0
heuristic_mutation,geometric_crossover,tournament_k2,5,20,66500.0
heuristic_mutation,geometric_crossover,tournament_k2,5,21,66900.0
heuristic_mutation,geometric_crossover,tournament_k2,5,22,66900.0
heuristic_mutation,geometric_crossover,tournament_k2,5,23,67400.0
