run,mutation,crossover,selection,elitism,generation,fitness
1,heuristic_mutation,geometric_crossover,tournament_k3,1,1,35100
1,heuristic_mutation,geometric_crossover,tournament_k3,1,2,37300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,3,45300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,4,49800
1,heuristic_mutation,geometric_crossover,tournament_k3,1,5,56600
1,heuristic_mutation,geometric_crossover,tournament_k3,1,6,60000
1,heuristic_mutation,geometric_crossover,tournament_k3,1,7,60000
1,heuristic_mutation,geometric_crossover,tournament_k3,1,8,60000
1,heuristic_mutation,geometric_crossover,tournament_k3,1,9,60900
1,heuristic_mutation,geometric_crossover,tournament_k3,1,10,60900
1,heuristic_mutation,geometric_crossover,tournament_k3,1,11,62700
1,heuristic_mutation,geometric_crossover,tournament_k3,1,12,64400
1,heuristic_mutation,geometric_crossover,tournament_k3,1,13,64400
1,heuristic_mutation,geometric_crossover,tournament_k3,1,14,64500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,15,64500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,16,64500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,17,64700
1,heuristic_mutation,geometric_crossover,tournament_k3,1,18,67000
1,heuristic_mutation,geometric_crossover,tournament_k3,1,19,67000
1,heuristic_mutation,geometric_crossover,tournament_k3,1,20,67000
1,heuristic_mutation,geometric_crossover,tournament_k3,1,21,67000
1,heuristic_mutation,geometric_crossover,tournament_k3,1,22,68300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,23,68300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,24,68300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,25,68300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,26,68300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,27,68300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,28,68300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,29,68300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,30,68300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,31,68300
