mutation,crossover,selection,elitism,generation,avg_fitness
heuristic_mutation,geometric_crossover,tournament_k3,1,1,39686.666666666664
heuristic_mutation,geometric_crossover,tournament_k3,1,2,43110.0
heuristic_mutation,geometric_crossover,tournament_k3,1,3,46703.333333333336
heuristic_mutation,geometric_crossover,tournament_k3,1,4,50566.666666666664
heuristic_mutation,geometric_crossover,tournament_k3,1,5,53396.666666666664
heuristic_mutation,geometric_crossover,tournament_k3,1,6,55233.333333333336
heuristic_mutation,geometric_crossover,tournament_k3,1,7,57246.666666666664
heuristic_mutation,geometric_crossover,tournament_k3,1,8,59316.666666666664
heuristic_mutation,geometric_crossover,tournament_k3,1,9,60673.333333333336
heuristic_mutation,geometric_crossover,tournament_k3,1,10,61880.0
heuristic_mutation,geometric_crossover,tournament_k3,1,11,63120.0
heuristic_mutation,geometric_crossover,tournament_k3,1,12,64056.666666666664
heuristic_mutation,geometric_crossover,tournament_k3,1,13,64683.333333333336
heuristic_mutation,geometric_crossover,tournament_k3,1,14,65046.666666666664
heuristic_mutation,geometric_crossover,tournament_k3,1,15,65613.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,16,65993.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,17,66356.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,18,66666.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,19,66796.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,20,67026.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,21,67166.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,22,67246.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,23,67466.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,24,67786.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,25,68123.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,26,68216.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,27,68390.0
heuristic_mutation,geometric_crossover,tournament_k3,1,28,68540.0
heuristic_mutation,geometric_crossover,tournament_k3,1,29,68693.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,30,68810.0
heuristic_mutation,geometric_crossover,tournament_k3,1,31,69063.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,32,69276.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,33,69513.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,34,69566.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,35,69640.0
heuristic_mutation,geometric_crossover,tournament_k3,1,36,69736.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,37,69860.0
heuristic_mutation,geometric_crossover,tournament_k3,1,38,69876.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,39,69933.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,40,70016.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,41,70083.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,42,70230.0
