mutation,crossover,selection,elitism,generation,avg_fitness
heuristic_mutation,geometric_crossover,tournament_k3,1,1,39083.333333333336
heuristic_mutation,geometric_crossover,tournament_k3,1,2,42150.0
heuristic_mutation,geometric_crossover,tournament_k3,1,3,47490.0
heuristic_mutation,geometric_crossover,tournament_k3,1,4,50953.333333333336
heuristic_mutation,geometric_crossover,tournament_k3,1,5,53586.666666666664
heuristic_mutation,geometric_crossover,tournament_k3,1,6,55830.0
heuristic_mutation,geometric_crossover,tournament_k3,1,7,57633.333333333336
heuristic_mutation,geometric_crossover,tournament_k3,1,8,59353.333333333336
heuristic_mutation,geometric_crossover,tournament_k3,1,9,60830.0
heuristic_mutation,geometric_crossover,tournament_k3,1,10,61650.0
heuristic_mutation,geometric_crossover,tournament_k3,1,11,62393.333333333336
heuristic_mutation,geometric_crossover,tournament_k3,1,12,63366.666666666664
heuristic_mutation,geometric_crossover,tournament_k3,1,13,63936.666666666664
heuristic_mutation,geometric_crossover,tournament_k3,1,14,64283.333333333336
heuristic_mutation,geometric_crossover,tournament_k3,1,15,64646.666666666664
heuristic_mutation,geometric_crossover,tournament_k3,1,16,64916.666666666664
heuristic_mutation,geometric_crossover,tournament_k3,1,17,65570.0
heuristic_mutation,geometric_crossover,tournament_k3,1,18,65956.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,19,66233.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,20,66400.0
heuristic_mutation,geometric_crossover,tournament_k3,1,21,66466.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,22,66653.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,23,66700.0
heuristic_mutation,geometric_crossover,tournament_k3,1,24,66763.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,25,66870.0
heuristic_mutation,geometric_crossover,tournament_k3,1,26,67006.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,27,67100.0
heuristic_mutation,geometric_crossover,tournament_k3,1,28,67320.0
heuristic_mutation,geometric_crossover,tournament_k3,1,29,67453.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,30,67623.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,31,67663.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,32,67666.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,33,68076.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,34,68120.0
heuristic_mutation,geometric_crossover,tournament_k3,1,35,68156.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,36,68340.0
heuristic_mutation,geometric_crossover,tournament_k3,1,37,68550.0
heuristic_mutation,geometric_crossover,tournament_k3,1,38,68626.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,39,68630.0
heuristic_mutation,geometric_crossover,tournament_k3,1,40,68646.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,41,68696.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,42,68813.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,43,68916.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,44,68963.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,45,69043.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,46,69216.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,47,69306.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,48,69446.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,49,69446.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,50,69446.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,51,69456.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,52,69550.0
heuristic_mutation,geometric_crossover,tournament_k3,1,53,69590.0
heuristic_mutation,geometric_crossover,tournament_k3,1,54,69636.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,55,69733.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,56,69733.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,57,69840.0
heuristic_mutation,geometric_crossover,tournament_k3,1,58,69913.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,59,70080.0
heuristic_mutation,geometric_crossover,tournament_k3,1,60,70263.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,61,70263.33333333333
heuristic_mutation,geometric_crossover,tournament_k3,1,62,70390.0
heuristic_mutation,geometric_crossover,tournament_k3,1,63,70440.0
heuristic_mutation,geometric_crossover,tournament_k3,1,64,70586.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,65,70586.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,66,70586.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,67,70586.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,68,70686.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,69,70766.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,70,70850.0
heuristic_mutation,geometric_crossover,tournament_k3,1,71,70996.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,72,71070.0
heuristic_mutation,geometric_crossover,tournament_k3,1,73,71266.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,74,71326.66666666667
heuristic_mutation,geometric_crossover,tournament_k3,1,75,71350.0
heuristic_mutation,geometric_crossover,tournament_k3,1,76,71393.33333333333
