run,mutation,crossover,selection,elitism,generation,fitness
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,78,45700
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,79,47000
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,80,46800
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,81,46900
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,82,46000
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,83,46000
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,84,48400
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,85,47100
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,86,47100
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,87,47400
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,88,46500
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,89,46700
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,90,47900
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,91,48000
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,92,49100
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,93,51500
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,94,49200
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,95,51400
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,96,51400
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,97,49800
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,98,48200
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,99,50800
1,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,100,49200
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,1,24800
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,2,23500
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,3,25100
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,4,26500
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,5,27700
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,6,26500
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,7,28700
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,8,27800
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,9,27500
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,10,29500
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,11,31500
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,12,30600
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,13,28000
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,14,30900
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,15,30400
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,16,28600
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,17,32200
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,18,32000
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,19,36200
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,20,36200
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,21,37500
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,22,37500
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,23,37500
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,24,36200
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,25,36900
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,26,38100
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,27,41200
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,28,37100
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,29,38300
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,30,39800
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,31,39000
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,32,42300
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,33,42300
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,34,38400
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,35,40000
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,36,40100
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,37,40100
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,38,39400
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,39,38500
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,40,45100
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,41,41600
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,42,38900
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,43,41600
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,44,39500
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,45,39600
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,46,39100
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,47,40800
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,48,40600
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,49,38400
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,50,42200
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,51,39500
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,52,42900
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,53,41100
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,54,41100
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,55,40700
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,56,40700
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,57,41800
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,58,42100
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,59,42100
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,60,42300
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,61,44300
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,62,45200
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,63,43400
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,64,42900
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,65,43900
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,66,43900
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,67,44300
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,68,44800
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,69,43800
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,70,42000
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,71,41900
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,72,43500
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,73,41800
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,74,42700
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,75,42700
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,76,46700
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,77,42000
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,78,44300
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,79,45900
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,80,45500
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,81,42600
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,82,44800
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,83,46000
2,swap_mutation,one_point_crossover,fitness_proportionate_selection,0,84,51100
