mutation,crossover,selection,elitism,generation,median_fitness
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,74,53650.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,75,53900.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,76,54550.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,77,54050.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,78,53800.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,79,54050.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,80,54250.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,81,54600.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,82,54700.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,83,56300.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,84,55900.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,85,55650.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,86,56300.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,87,55800.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,88,56400.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,89,56100.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,90,55850.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,91,56450.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,92,56750.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,93,56900.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,94,56850.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,95,56850.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,96,56750.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,97,56750.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,98,56300.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,99,56900.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,0,100,57650.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,1,1,23050.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,1,2,25600.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,1,3,26550.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,1,4,28200.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,1,5,29250.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,1,6,29500.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,1,7,30400.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,1,8,31950.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,1,9,33000.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,1,10,33650.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,1,11,34700.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,1,12,34950.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,1,13,35850.0
heuristic_mutation,cycle_crossover,fitness_proportionate_selection,1,14,37050.0
