mutation,crossover,selection,elitism,generation,avg_fitness
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,83,46760.0
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,84,47076.666666666664
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,85,47343.333333333336
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,86,47643.333333333336
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,87,47716.666666666664
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,88,47830.0
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,89,47846.666666666664
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,90,47953.333333333336
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,91,48040.0
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,92,48100.0
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,93,48210.0
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,94,48240.0
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,95,48366.666666666664
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,96,48506.666666666664
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,97,48616.666666666664
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,98,48650.0
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,99,48716.666666666664
swap_mutation,cycle_crossover,fitness_proportionate_selection,1,100,48810.0
swap_mutation,cycle_crossover,ranking_selection,1,1,23866.666666666668
swap_mutation,cycle_crossover,ranking_selection,1,2,24710.0
swap_mutation,cycle_crossover,ranking_selection,1,3,25926.666666666668
swap_mutation,cycle_crossover,ranking_selection,1,4,27030.0
swap_mutation,cycle_crossover,ranking_selection,1,5,28186.666666666668
swap_mutation,cycle_crossover,ranking_selection,1,6,28663.333333333332
swap_mutation,cycle_crossover,ranking_selection,1,7,29380.0
swap_mutation,cycle_crossover,ranking_selection,1,8,30393.333333333332
swap_mutation,cycle_crossover,ranking_selection,1,9,31130.0
swap_mutation,cycle_crossover,ranking_selection,1,10,31883.333333333332
swap_mutation,cycle_crossover,ranking_selection,1,11,32550.0
swap_mutation,cycle_crossover,ranking_selection,1,12,32970.0
swap_mutation,cycle_crossover,ranking_selection,1,13,33593.333333333336
swap_mutation,cycle_crossover,ranking_selection,1,14,34256.666666666664
swap_mutation,cycle_crossover,ranking_selection,1,15,34733.333333333336
swap_mutation,cycle_crossover,ranking_selection,1,16,35323.333333333336
swap_mutation,cycle_crossover,ranking_selection,1,17,35713.333333333336
swap_mutation,cycle_crossover,ranking_selection,1,18,36260.0
swap_mutation,cycle_crossover,ranking_selection,1,19,36630.0
swap_mutation,cycle_crossover,ranking_selection,1,20,37070.0
swap_mutation,cycle_crossover,ranking_selection,1,21,37400.0
swap_mutation,cycle_crossover,ranking_selection,1,22,37973.333333333336
swap_mutation,cycle_crossover,ranking_selection,1,23,38436.666666666664
swap_mutation,cycle_crossover,ranking_selection,1,24,38760.0
swap_mutation,cycle_crossover,ranking_selection,1,25,39440.0
swap_mutation,cycle_crossover,ranking_selection,1,26,39840.0
swap_mutation,cycle_crossover,ranking_selection,1,27,40293.333333333336
swap_mutation,cycle_crossover,ranking_selection,1,28,40646.666666666664
swap_mutation,cycle_crossover,ranking_selection,1,29,40990.0
swap_mutation,cycle_crossover,ranking_selection,1,30,41553.333333333336
swap_mutation,cycle_crossover,ranking_selection,1,31,41786.666666666664
swap_mutation,cycle_crossover,ranking_selection,1,32,42196.666666666664
swap_mutation,cycle_crossover,ranking_selection,1,33,42686.666666666664
swap_mutation,cycle_crossover,ranking_selection,1,34,42880.0
swap_mutation,cycle_crossover,ranking_selection,1,35,43306.666666666664
swap_mutation,cycle_crossover,ranking_selection,1,36,43656.666666666664
swap_mutation,cycle_crossover,ranking_selection,1,37,44173.333333333336
swap_mutation,cycle_crossover,ranking_selection,1,38,44546.666666666664
swap_mutation,cycle_crossover,ranking_selection,1,39,44763.333333333336
swap_mutation,cycle_crossover,ranking_selection,1,40,45156.666666666664
